Categorie,Nom,Code Postal,Ville,Activite principale,Site Web,Contact
GE,ATOS INFOGERANCE ,69100,VILLEURBANNE,Gestion d installations informatiques,,[]
ETI,OFFICE NATIONAL D INFORMATION SUR LES ENSEIGNEMENTS ET LES PROFESSIONS ONISEP,69004,LYON 4EME,"Traitement de données, hébergement et activités connexes",,[]
PME,GPT ASSISTANCE COOPE DOCUMEN PSYCHIATRIE ASCODOCPSY,69008,LYON 8EME,"Traitement de données, hébergement et activités connexes",,[]
ETI,CIRIL GROUP ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.cirilgroup.com,"[['contact@cirilgroup.com.Mentions', 'contact@cirilgroup.com', 'contact@cirilgroup.\u200bcom'], ['contact@cirilgroup.com.Mentions'], ['contact@cirilgroup.com.'], ['contact@cirilgroup.com'], ['contact@cirilgroup.\u200bcom']]"
PME,AXESS EDUCATION ET FORMATION ,69007,LYON 7EME,Tierce maintenance de systèmes et d applications informatiques,www.axess-education.fr,"[['assistance-educationbpm@axess.fr', 'commercial-education@axess.fr', 'information@axess.fr'], ['assistance-educationbpm@axess.fr'], ['commercial-education@axess.fr'], ['information@axess.fr']]"
PME,AXESS EDUCATION ET FORMATION ,69007,LYON 7EME,Tierce maintenance de systèmes et d applications informatiques,www.axess-education.fr,"[['assistance-educationbpm@axess.fr', 'commercial-education@axess.fr', 'information@axess.fr'], ['assistance-educationbpm@axess.fr'], ['commercial-education@axess.fr'], ['information@axess.fr']]"
GE,EURO-INFORMATION EUROPEENNE DE TRAITEMENT DE L'INFORMATION EURO INFORMATION,69009,LYON 9EME,Gestion d installations informatiques,,[]
GE,STEF INFORMATION ET TECHNOLOGIES ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.stef.com,[]
ETI,SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE SII,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.societe.com,[]
GE,GFI INFORMATIQUE ENTREPRISE SOLUTIONS ,69005,LYON 5EME,Conseil en systèmes et logiciels informatiques,,[]
PME,ORGAN TEMPOR 10 COLLOQ RADIO IMMONOLOGUE ,69008,LYON 8EME,"Traitement de données, hébergement et activités connexes",,[]
GE,FIDUCIAL INFORMATIQUE ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.fiducial.fr,[]
GE,FIDUCIAL INFORMATIQUE ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.fiducial.fr,[]
PME,LES AMIS DU PERE LEBRET ,69008,LYON 8EME,"Traitement de données, hébergement et activités connexes",,[]
ETI,T-SYSTEMS FRANCE ,69007,LYON 7EME,Gestion d installations informatiques,www.t-systems.com,"[['info.france@t\u200b-systems.com.', 'info@t-systems.com.'], ['info.france@t\u200b-systems.com.'], ['info@t-systems.com.']]"
ETI,T-SYSTEMS FRANCE ,69007,LYON 7EME,Gestion d installations informatiques,www.t-systems.com,"[['info.france@t\u200b-systems.com.', 'info@t-systems.com.'], ['info.france@t\u200b-systems.com.'], ['info@t-systems.com.']]"
GE,DOCAPOSTE BPO ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",www.docaposte.com,"[['delphine.benard@docapost.fr.Contacter'], ['delphine.benard@docapost.fr.']]"
PME,SOLYNFO ,69007,LYON 7EME,Gestion d installations informatiques,,[]
PME,RHONE INFORMATIQUE ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",,[]
PME,MICRO INFORMATIQUE REALIS SERV MIRS,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",,[]
ETI,FOLIATEAM RHONE-ALPES ,69100,VILLEURBANNE,Telecommunications sans fil,www.foliateam.com,[]
PME,AMITEL ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.amitel.fr,"[['infos@residence-amitel.fr', 'contact@touchfordiffusion.comDemande'], ['infos@residence-amitel.fr', 'contact@touchfordiffusion.com']]"
PME,ADAY ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",www.aday.fr,"[['contact@aday.\u200bfr;', 'contact@aday.fr;', 'contact@\u200baday.fr;', 'contact@aday.fr.Recherches'], ['contact@aday.\u200bfr;'], ['contact@aday.fr;'], ['contact@\u200baday.fr;'], ['contact@aday.fr.']]"
PME,RHONE INVESTISSEMENTS ,69003,LYON 3EME,Programmation informatique,www.rhone-investissements.com,[]
ETI,CEGEDIM SOLUTIONS RESSOURCES HUMAINES CEGEDIM SRH,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",www.cegedim-srh.com,[['srh-uk@cegedim']]
PME,PRAGM' ,69001,LYON 1ER,Programmation informatique,,[]
PME,BUREAU GESTION INTERNATIONAL BGI,69006,LYON 6EME,"Traitement de données, hébergement et activités connexes",,[]
PME,CARTOGRAPHIE ET DECISION ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",,[]
PME,ACMI ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.acmi.fr,"[['info@acmi.fr.Mentions', 'information@acmi.fr'], ['info@acmi.fr.Mentions'], ['info@acmi.fr.'], ['information@acmi.fr']]"
ETI,AROBAS CONSEIL ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.arobas-conseil.fr,"[['contact@arobas-conseil.fr.AROBAS'], ['contact@arobas-conseil.fr.']]"
GE,ECONOCOM-OSIATIS INGENIERIE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,,[]
PME,ENGINEERING RESEAUX COMMUNICATIONS ERCOM,69003,LYON 3EME,Autres activités de télécommunication,,[]
PME,SETELINF ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.setelinf.com,[['contact@phone-help.com.']]
GE,GFI PROGICIELS ,69003,LYON 3EME,Tierce maintenance de systèmes et d applications informatiques,,[]
GE,GFI PROGICIELS ,69007,LYON 7EME,Tierce maintenance de systèmes et d applications informatiques,,[]
PME,VIDEOTEX CONSEIL DEVELOPPEMENT ,69008,LYON 8EME,Conseil en systèmes et logiciels informatiques,,[]
